name;lat;lon;notes
Herrenberg Bahnhof;48.593861700000005;8.86307270000001;
Gäufelden;48.5534259;8.8229748;
Schönbuchturm;48.60396942584515;8.909352661789013;
Herrenberger Marktplatz;48.5965153;8.8703739;
Bahnhof Herrenberg;48.593861700000005;8.86307270000001;
Ehbühl Herrenberg;48.5990579;8.88262;
Nebringen;48.5628035;8.8486774;
Herrenberg;48.595557;8.8674715;
Zeppelinstraße, 71083 Herrenberg;48.6001544;8.867168;Issue
Stadtwerke, Stuttgarter Straße 90, 71083 Herrenberg;48.60471945;8.875496720680218;
Notariat, Stadtarchiv, Marienstraße 21, 71083 Herrenberg;48.592540549999995;8.87396884087168;
Marktplatz, 71083 Herrenberg;48.59635685;8.870212611582073;
Ludwigsburg, Bahnhofstraße, 71638 Ludwigsburg;48.59650256604047;8.870305559488784;
Rheinlandstraße, 71636 Ludwigsburg;48.890269;9.1702107;
Heslach Vogelrain;48.7536011;9.138242;5 excel
Bahnhof Herrenberg;48.593861700000005;8.86307270000001;5 excel
Heslach Vogelrain;48.7536011;9.138242;5 excel
Bahnhof Herrenberg;48.593861700000005;8.86307270000001;5 excel
Steinerner Weg, 71134 Aidlingen;48.6580831;8.8873906;6 excel
Eisenbahnstraße, 71083 Herrenberg;48.5932927;8.8635394;6  excel
Eisenbahnstraße, 71083 Herrenberg;48.5932927;8.8635394;7  excel
Gäufelden, Bahnhofstraße, 71126 Gäufelden-Nebringen;48.5600234;8.8492627;7  excel
Asternweg, 71083 Herrenberg;48.6058398;8.8553651;8 excel
Eisenbahnstraße, 71083 Herrenberg;48.5961809;8.8703003;8 excel
Egelhaafstraße, 70565 Stuttgart;48.7172155;9.1102313;9 excel
Stuttgarter Straße, 71083 Herrenberg;48.5969686;8.8701104;9 excel
Primelweg, 71083 Herrenberg;48.6046245;8.8573711;10 excel
Tübingen Hbf, Hegelstraße, 72072 Tübingen;48.5155801;9.0552876;10 excel
Herrenberg, Bahnhof Herrenberg, 71083 Herrenberg;48.593861700000005;8.86307270000001;From nada to check bike
Sindelfingen;48.7084162;9.0035455;From nada to check bike
Tübingen Hbf, Hegelstraße, 72072 Tübingen;48.5155801;9.0552876;11 excel
Bahnhof Herrenberg;48.593861700000005;8.86307270000001;11 excel
Bahnhof Herrenberg;48.593861700000005;8.86307270000001;12 excel
Stuttgart Hauptbahnhof;48.7856099;9.1833959;12 excel
Reinhold Schick Platz;48.5956515;8.8673058;13 excel
Gäufelden;48.5534259;8.8229748;13 excel
Bahnhof Herrenberg;48.593861700000005;8.86307270000001;14 excel
Erwin-Bälz-Straße 70597 Stuttgart;48.748679;9.1749312;14 excel
Schönbuchturm;48.60396942584515;8.909352661789013;15 excel
Kuppingen;48.611011149999996;8.832897832205557;15 excel
Bahnhof Herrenberg;48.593861700000005;8.86307270000001;16 excel
Stuttgart Main Station;48.7856099;9.1833959;16 excel
Kuppingen;48.611011149999996;8.832897832205557;17 excel
Universität Stuttgart, Schloßstraße;48.7453828;9.103267538773398;17 excel
