name;lat;lon
Calwer Straße Oberjesingen;48.6330362; 8.8285372
Kuppinger Straße Affstätt;48.6078383; 8.8558945
Wildberger Weg Nebringen;48.5708936; 8.8303305
Freßeiche Herrenberg (Stadt);48.5940326; 8.9410728
Gartenanlage Seere Herrenberg (Stadt);48.5931198; 8.842669870945949
Kindergarten Markweg Herrenberg (Stadt);48.59412695; 8.853353450799442
Jägergartenweg Breitenholz;48.5804111; 8.9426848
Schönbuch-Tunnel Herrenberg (Stadt);48.6048058; 8.8960756
Öfelepass Unterjettingen;48.5770421; 8.8077616
Alter Pflanzschulweg Oberjesingen;48.6302215; 8.7978911
Wasserhäuslesweg Haslach;48.5914661; 8.8210433
Wasserhäuschen Kuppingen;48.62133645; 8.823316881606765
Horber Straße Nebringen;48.5666141; 8.8548502
Trimm Dich Herrenberg (Stadt);48.6038347; 8.9004174
Aussiedlerhöfe Unterjettingen;48.5732013; 8.8165489
Urschelrainstraße Mönchberg;48.590032; 8.9491045
8 Klosterwald Kuppingen;48.5936867; 8.8010028
Neurathstein Herrenberg (Stadt);48.600427; 8.931046
Öfele Unterjettingen;48.5788466; 8.8012738
Grenzstein 055 Reusten;48.5555859; 8.9379034
Wasserhäuschen Kuppingen;48.62133645; 8.823316881606765
Sindlinger Straße Unterjettingen;48.5770298; 8.8253503
Frau Fichteweg Unterjettingen;48.5846447; 8.8051988
Bodenseeautobahn Herrenberg (Stadt);48.5998663; 8.8957762
Gefelgte Wiesen Entringen;48.5637384; 8.9648706
Gültsteiner Straße Gültstein;48.5595814; 8.8799246
Wurzachweg Oberjesingen;48.6230794; 8.8080473
Neue Steige Breitenholz;48.583894; 8.9463279
Gas-Druckregelanlage Altingen Altingen;48.55866695; 8.92459108097015
Pappelallee Altingen;48.5550576; 8.9123774
Ludwig-Volz-Sträßle Herrenberg (Stadt);48.5948319; 8.9464347
Gäu Terrassen Herrenberg (Stadt);48.586581499999994; 8.86977869871794
500er Weg Kayh;48.585501; 8.9475155
Friedenslinde Oberjesingen;48.6270951; 8.81228
Nebringer Steige Nebringen;48.5673128; 8.8626464
Kayher Sträßle Breitenholz;48.5808524; 8.9561476
Gas-Druckregelanlage Altingen Altingen;48.55866695; 8.92459108097015
Tafel 10: Schönbuch-Blick Öschelbronn;48.5581806; 8.8110923
24 Buchen Herrenberg (Stadt);48.600213; 8.9290388
Gärtringer Straße Gärtringen-Rohrau;48.6330422; 8.9268986
Grasiger Weg Herrenberg (Stadt);48.5947546; 8.890403
Bebenhäuser Straße Herrenberg (Stadt);48.5973879; 8.9393645
Rüsselschnecke Nebringen;48.5701524; 8.8533911
Horber Straße Herrenberg (Stadt);48.5821497; 8.8620897
Äußere Ebene Herrenberg (Stadt);48.6050796; 8.8855737
Hohleweg Kuppingen;48.5999708; 8.8039369
Wengerthof Tailfingen;48.5584814; 8.866047641571384
Haarschwärze Kuppingen;48.620486400000004; 8.846291861810862
Nissleswiesen Gärtringen-Rohrau;48.6399125; 8.9322412
Gipswerkstraße Altingen;48.5701268; 8.9123636
Nebringer Weg Haslach;48.5763559; 8.840267
24 Buchen Herrenberg (Stadt);48.600213; 8.9290388
Sommerstaigle Herrenberg (Stadt);48.6001543; 8.9261597
Bodenseeautobahn Sägmühle;48.5703036; 8.8992162
Gemeiner-Acker-Weg Oberjesingen;48.6298025; 8.8076819
Gärtnerei Büchsenstein Öschelbronn;48.556479249999995; 8.83482214817969
Burghaldenweg Herrenberg (Stadt);48.616841; 8.8099313
Weingartenstraße Mönchberg;48.5849122; 8.917487
Öfelepass Unterjettingen;48.5770421; 8.8077616
Nebringer Steige Gültstein;48.5692408; 8.8725603
Steighäusle Herrenberg (Stadt);48.6031871; 8.9020238
Gipswerkstraße Altingen;48.5701268; 8.9123636
Sommertalbrunnen Herrenberg (Stadt);48.5975939; 8.919681
Grenzstein 044 Herrenberg (Stadt);48.599651; 8.899634
Niederholzweg Öschelbronn;48.549084; 8.8086404
Ehemaliger Trimm-Dich-Pfad Nebringen;48.5723444; 8.8371744
Ehemaliger Trimm-Dich-Pfad Nebringen;48.5723444; 8.8371744
Holderstüble Herrenberg (Stadt);48.5928264; 8.844994449845494
Heselschwerdtstein Kuppingen;48.6017202; 8.8004691
Bodenseeautobahn Gültstein;48.5763839; 8.8998846
Öschelbronner Straße Nebringen;48.5570907; 8.8391006
Plapphalde Haslach;48.5878871; 8.845524
4 Forstknechtsstein Kuppingen;48.6035248; 8.79918
Bolzplatz Gärtringen-Rohrau;48.62481405; 8.926939549999997
Leimgrubenweg Haslach;48.5895175; 8.8071712
Schömberg Tennental;48.6412161; 8.8324743
Bodenseeautobahn Altingen;48.5603753; 8.892625
Rötesteig Öschelbronn;48.5535642; 8.8091777
Farbtex Gültstein;48.5819282; 8.889666600428846
Hesselbrunner Talweg Kuppingen;48.6078393; 8.8135123
Wildkatzensprung Herrenberg (Stadt);48.6131932; 8.8731605
Teufelsbrunnen Herrenberg (Stadt);48.5982323; 8.9655462
Wildbienen-Bäume Oberjesingen;48.6303453; 8.8157237
Tübinger Straße Gültstein;48.5883898; 8.8823921
Haldenweg Altingen;48.5671478; 8.9238659
Hardtwaldeiche Reusten;48.5596812; 8.9336718
Damwildfarm Egeler Nebringen;48.56103035; 8.86191859445547
Hummelbergsträßle Herrenberg (Stadt);48.6094379; 8.8109275
11 Otternzipfel Kuppingen;48.6006594; 8.8215157
Bebenhäuser Straße Herrenberg (Stadt);48.5973879; 8.9393645
Lindensteige Kayh;48.582187; 8.9407424
Haslacher Weg Nebringen;48.5703511; 8.8444866
Hirschwirtshütte Kayh;48.59003825; 8.94532055
Nebringer Steige Nebringen;48.5673128; 8.8626464
Tübinger Straße Gültstein;48.5866833; 8.8847494
Reustener Weg Entringen;48.5520226; 8.9500649
Brandplatzweg Kuppingen;48.5981806; 8.8264773
Wildbienenhotel Herrenberg (Stadt);48.601956650000005; 8.897473763035727
Der Schönbuchturm - Aussicht und Erlebnis Herrenberg (Stadt);48.6027715; 8.9046621
Bienenlehrpfad Herrenberg (Stadt);48.6020643; 8.8954499
Stirners Jagdhütte Herrenberg (Stadt);48.5929483; 8.906858543363597
Leimgrubenweg Haslach;48.5895175; 8.8071712
TSV Kuppingen 1936 Kuppingen;48.6038861; 8.807804802463806
